"Name","Hometown","Position","Stars","Grade","School"
"Jadeveon ClowneyVideo | Scouts Report","Rock Hill, SCSouth Pointe High School","#1 DE","","95","Signed02/14/2011"
"Anthony JohnsonVideo | Scouts Report","New Orleans, LAO. Perry Walker High School","#1 DT","","87","Signed02/02/2011"
"Cyrus KouandjioVideo | Scouts Report","Hyattsville, MDDeMatha Catholic High School","#1 OT","","87","Signed02/05/2011"
"Isaiah CrowellVideo | Scouts Report","Columbus, GACarver High School","#1 RB","","86","Signed02/02/2011"
"Karlos WilliamsVideo | Scouts Report","Davenport, FLRidge Community High School","#1 S","","86","Signed02/02/2011"
"Christian WestermanVideo | Scouts Report","Chandler, AZHamilton High School","#2 OT","","86","Signed02/02/2011"
"Malcolm BrownVideo | Scouts Report","Cibolo, TXByron P. Steele II High School","#2 RB","","86","Signed08/22/2011"
"La'El CollinsVideo | Scouts Report","Baton Rouge, LARedemptorist High School","#3 OT","","85","Signed02/02/2011"
"Tony StewardVideo | Scouts Report","Saint Augustine, FLMenendez High School","#1 ILB","","85","Signed02/02/2011"
"Jeff DriskelVideo | Scouts Report","Oviedo, FLPaul J. Hagerty High School","#1 QB","","85","Signed01/11/2011"
"Aaron GreenVideo | Scouts Report","San Antonio, TXJames Madison High School","#3 RB","","85","Signed02/02/2011"
"George FarmerVideo | Scouts Report","Gardena, CAJunipero Serra High School","#1 WR","","85","Signed02/02/2011"
"Ray DrewVideo | Scouts Report","Thomasville, GAThomas County Central High School","#2 DE","","85","Signed02/02/2011"
"Charone PeakeVideo | Scouts Report","Roebuck, SCDorman High School","#2 WR","","85","Signed02/02/2011"
"Aaron LynchVideo | Scouts Report","Cape Coral, FLIsland Coast High School","#3 DE","","84","Signed01/17/2011"
"De'Anthony ThomasVideo | Scouts Report","Los Angeles, CACrenshaw High School","#1 ATH","","84","Signed02/03/2011"
"Tim JerniganVideo | Scouts Report","Lake City, FLColumbia High School","#2 DT","","84","Signed02/02/2011"
"Jay RomeVideo | Scouts Report","Valdosta, GAValdosta High School","#1 TE","","84","Signed02/02/2011"
"Ha'Sean Clinton-DixVideo | Scouts Report","Orlando, FLDr. Phillips High School","#2 S","","84","Signed02/02/2011"
"Nick O'LearyVideo | Scouts Report","Palm Beach Gardens, FLDwyer High School","#2 TE","","83","Signed02/02/2011"
"Quandre DiggsVideo | Scouts Report","Angleton, TXAngleton High School","#1 CB","","83","Signed08/22/2011"
"Xzavier DicksonVideo | Scouts Report","Griffin, GAGriffin High School","#4 DE","","83","Signed02/02/2011"
