"Name","Hometown","Position","Stars","Grade","School"
"Mario EdwardsVideo | Scouts Report","Denton, TXBilly Ryan High School","#1 DE","","90","Signed03/15/2011"
"Johnathan GrayVideo | Scouts Report","Aledo, TXAledo High School","#1 RB","","86","Signed04/22/2011"
"Dorial Green-BeckhamVideo | Scouts Report","Springfield, MOHillcrest High School","#1 WR","","86","Signed02/01/2012"
"Noah SpenceVideo | Scouts Report","Harrisburg, PABishop McDevitt High School","#2 DE","","86","Signed12/18/2011"
"Keith MarshallVideo | Scouts Report","Raleigh, NCMillbrook High School","#2 RB","","85","Signed12/06/2011"
"Landon CollinsVideo | Scouts Report","Geismar, LADutchtown High School","#1 S","","85","Signed01/05/2012"
"D.J. HumphriesVideo | Scouts Report","Charlotte, NCMallard Creek High School","#1 OT","","85","Signed08/05/2011"
"Davonte NealVideo | Scouts Report","Scottsdale, AZChaparral High School","#1 ATH","","85","Signed02/21/2012"
"Andrus PeatVideo | Scouts Report","Tempe, AZCorona Del Sol High School","#2 OT","","85","Signed02/01/2012"
"Eddie GoldmanVideo | Scouts Report","Washington, DCFriendship Collegiate Academy","#1 DT","","85","Signed02/01/2012"
"Eddie WilliamsVideo | Scouts Report","Panama City, FLArnold High School","#2 ATH","","85","Signed08/24/2010"
"Malcom BrownVideo | Scouts Report","Brenham, TXBrenham High School","#2 DT","","84","Signed04/03/2011"
"Stefon DiggsVideo | Scouts Report","Olney, MDOur Lady of Good Counsel High School","#3 ATH","","84","Signed"
"Jameis WinstonVideo | Scouts Report","Hueytown, ALHueytown High School","#1 QB","","84","Signed08/03/2011"
"Travis BlanksVideo | Scouts Report","Tallahassee, FLNorth Florida Christian High School","#2 S","","84","Signed06/10/2011"
"Shaq ThompsonVideo | Scouts Report","Sacramento, CAGrant High School","#3 S","","84","Signed01/31/2012"
"Josh Harvey-ClemonsVideo | Scouts Report","Valdosta, GALowndes High School","#1 OLB","","83","Signed02/01/2012"
"Tracy HowardVideo | Scouts Report","Miramar, FLMiramar High School","#1 CB","","83","Signed02/01/2012"
"Isaac SeumaloVideo | Scouts Report","Corvallis, ORCorvallis High School","#1 OG","","83","Signed06/28/2011"
"Cyrus JonesVideo | Scouts Report","Baltimore, MDGilman School","#4 ATH","","83","Signed01/05/2012"
"Ricardo LouisVideo | Scouts Report","Miami Beach, FLMiami Beach Senior High School","#5 ATH","","83","Signed02/01/2012"
"Chris BlackVideo | Scouts Report","Jacksonville, FLFirst Coast High School","#2 WR","","83","Signed08/05/2011"
"Chris CasherVideo | Scouts Report","Mobile, ALDavidson High School","#3 DE","","83","Signed01/05/2011"
"Arik ArmsteadVideo | Scouts Report","Elk Grove, CAPleasant Grove High School","#3 OT","","83","Signed01/29/2012"
"Noor DavisVideo | Scouts Report","Leesburg, FLLeesburg High School","#2 OLB","","83","Signed05/13/2011"
"Rushel ShellVideo | Scouts Report","Aliquippa, PAHopewell High School","#3 RB","","83","Signed10/14/2011"
"Kyle MurphyVideo | Scouts Report","San Clemente, CASan Clemente High School","#4 OT","","83","Signed02/01/2012"
"John TheusVideo | Scouts Report","Jacksonville, FLThe Bolles School","#5 OT","","83","Signed07/16/2011"
"Kwon AlexanderVideo | Scouts Report","Oxford, ALOxford High School","#3 OLB","","83","Signed"
"Brandon GreeneVideo | Scouts Report","Ellenwood, GACedar Grove High School","#6 OT","","83","Signed03/06/2011"
"Geno SmithVideo | Scouts Report","Atlanta, GASaint Pius X Catholic High","#2 CB","","82","Signed08/17/2011"
"Zach KlineVideo | Scouts Report","Danville, CASan Ramon Valley High School","#2 QB","","82","Signed09/13/2010"
"Thomas JohnsonVideo | Scouts Report","Dallas, TXSkyline High School","#3 WR","","82","Signed02/01/2012"
"Issac GrossVideo | Scouts Report","Batesville, MSSouth Panola High School","#3 DT","","82","Signed04/26/2011"
"Randy JohnsonVideo | Scouts Report","Miami, FLMiami Norland High School","#6 ATH","","82","Signed09/17/2010"
"Jabari RuffinVideo | Scouts Report","Downey, CADowney High School","#4 OLB","","82","Signed03/02/2011"
"Jonathan BullardVideo | Scouts Report","Shelby, NCCrest High School","#4 DE","","82","Signed01/07/2012"
"Ronald DarbyVideo | Scouts Report","Oxon Hill, MDPotomac High School","#3 CB","","82","Signed02/01/2012"
