"","PlayerCode","Name","Home State","RecruitingRank","Position","RecruitingGrade","YearRanked","TotalPoints","YearsPlayed","PointsPerYear"
"1",64375,"Michael Braunstein","AZ",8312,"K","49",2007,0,1,0
"2",69994,"Frantz Joseph","FL",5012,"OG","49",2012,0,2,0
"3",70240,"Frank Summers","CA",8286,"RB","49",2007,310,2,155
"4",70378,"Byron Davenport","CA",7748,"CB","49",2007,0,1,0
"5",72846,"Michael Tate","OK",8388,"DT","49",2007,0,1,0
"6",77068,"James Bryant","PA",8048,"ILB","49",2007,11,1,11
"7",82970,"Michael Machen","AL",8337,"QB","49",2007,0,1,0
"8",83639,"Nyan Boateng","NY",8327,"WR","49",2007,97,2,49
"9",83946,"Jeffrey Fitzgerald","VA",8066,"DE","49",2009,0,2,0
"10",1000005,"Jose Cruz","PA",14226,"TE","49",2010,11,2,6
"11",1000190,"Damian Williams","AR",8125,"WR","49",2007,334,2,167
"12",1000194,"Mitch Mustain","AR",8378,"QB","49",2007,24,2,12
"13",1000327,"Jeremy Williams","TX",3583,"QB","49",2008,0,3,0
"14",1000689,"Dannie Bolden","MI",4195,"RB","49",2007,0,3,0
"15",1001086,"Anthony Leon","FL",7735,"S","49",2009,0,3,0
"16",1001104,"Tyler Graves","MS",8203,"OG","49",2009,0,1,0
"17",1001155,"Jamar Hornsby","FL",7757,"S","49",2009,0,1,0
"18",1001540,"Arvell Nelson","OH",8241,"QB","49",2009,0,1,0
"19",1001802,"Latarrius Thomas","FL",14165,"S","49",2010,0,4,0
"20",1001978,"Orlando Franklin","FL",157,"OT","79",2007,0,4,0
"21",1002414,"Tim High","CA",8150,"DT","49",2009,0,1,0
"22",1002475,"Kramer Winingham","CA",8287,"ILB","49",2007,0,1,0
"23",1002573,"Owen Spencer","NC",295,"WR","78",2007,319,4,80
"24",1003092,"Chris Summers","IN",6092,"K","49",2007,0,3,0
"25",1003359,"Travon Patterson","CA",14429,"WR","49",2010,61,4,16
"26",1003781,"Jevan Snead","TX",8151,"QB","49",2007,365,2,183
"27",1004207,"Riley Nelson","UT",7788,"QB","49",2009,360,4,90
"28",1004615,"Juan Nunez","FL",6475,"WR","49",2007,367,4,92
"29",1007903,"Sean Fobbs","OH",2706,"S","49",2007,0,3,0
