"Last.Name","First.Name","Position","Rank","Full.Name","Grade","Player.Code","Team.Code","year"
"Gray","Johnathan","RB",2,"Johnathan Gray","86",1049643,703,2012
"Green-Beckham","Dorial","WR",3,"Dorial Green-Beckham","86",1048253,434,2012
"Peat","Andrus","OT",9,"Andrus Peat","85",1049422,674,2012
"Goldman","Eddie","DT",10,"Eddie Goldman","85",1047167,234,2012
"Brown","Malcom","DT",12,"Malcom Brown","84",1049670,703,2012
"Winston","Jameis","QB",14,"Jameis Winston","84",1047159,234,2012
"Blanks","Travis","S",15,"Travis Blanks","84",1046830,147,2012
"Thompson","Shaq","S",16,"Shaq Thompson","84",1050333,756,2012
"Jones","Cyrus","ATH",20,"Cyrus Jones","83",1046181,8,2012
"Black","Chris","WR",22,"Chris Black","83",1046170,8,2012
"Casher","Chris","DE",23,"Chris Casher","83",1047147,234,2012
"Davis","Noor","OLB",25,"Noor Davis","83",1049405,674,2012
"Shell","Rushel","RB",26,"Rushel Shell","83",1048951,545,2012
"Shell","Rushel","RB",26,"Rushel Shell","83",1048951,768,2012
"Murphy","Kyle","OT",27,"Kyle Murphy","83",1049424,674,2012
"Theus","John","OT",28,"John Theus","83",1047264,257,2012
"Greene","Brandon","OT",30,"Brandon Greene","83",1050051,726,2012
"Kline","Zach","QB",32,"Zach Kline","82",1046689,107,2012
"Johnson","Thomas","WR",33,"Thomas Johnson","82",1049554,697,2012
"Gross","Issac","DT",34,"Issac Gross","82",1048246,433,2012
"Ruffin","Jabari","OLB",36,"Jabari Ruffin","82",1049242,657,2012
"McCarthy","Ellis","DT",43,"Ellis McCarthy","82",1046730,110,2012
"Garnett","Joshua","OG",44,"Joshua Garnett","82",1049411,674,2012
"Roland","Shaq","WR",45,"Shaq Roland","82",1049178,648,2012
"Agholor","Nelson","WR",47,"Nelson Agholor","82",1049229,657,2012
"Ward","Channing","DE",48,"Channing Ward","82",1048210,433,2012
"Cooper","Amari","WR",49,"Amari Cooper","82",1046185,8,2012
"Kiel","Gunner","QB",52,"Gunner Kiel","82",1048667,140,2012
"Kiel","Gunner","QB",52,"Gunner Kiel","82",1048667,513,2012
"Wheeler","Dominique","WR",54,"Dominique Wheeler","82",1049603,700,2012
"Yeldon","T.J.","RB",55,"T.J. Yeldon","81",1046166,8,2012
"Williams","Trey","RB",56,"Trey Williams","81",1049529,697,2012
"Holliman","Gerod","S",57,"Gerod Holliman","81",1047797,367,2012
"Metoyer","Trey","WR",58,"Trey Metoyer","81",1048806,522,2012
"Estelle","Kennedy","OT",60,"Kennedy Estelle","81",1049662,703,2012
"Shepard","Sterling","WR",62,"Sterling Shepard","81",1048816,522,2012
"Davis","Mike","RB",64,"Mike Davis","81",86271,648,2012
"Davis","Mike","RB",64,"Mike Davis","81",1049173,648,2012
"Davis","Mike","RB",64,"Mike Davis","81",1009731,404,2012
"Tuerk","Max","OT",65,"Max Tuerk","81",1049255,657,2012
"Neal","Durron","WR",66,"Durron Neal","81",1048805,522,2012
"Powe","Darius","WR",68,"Darius Powe","81",1046658,107,2012
"Ross","Alex","RB",73,"Alex Ross","81",1048814,522,2012
"Pender","Mario","RB",75,"Mario Pender","81",1047164,234,2012
"Fields","Devonte","DE",76,"Devonte Fields","81",1049592,698,2012
"Bracy","Marvin","WR",79,"Marvin Bracy","81",1047140,234,2012
"Riser","Curtis","OG",81,"Curtis Riser","81",1049661,703,2012
"Echols","Bryson","CB",82,"Bryson Echols","81",1049632,703,2012
"Sanders","Barry","RB",83,"Barry Sanders","81",1049404,674,2012
"Wade","Jordan","DT",84,"Jordan Wade","81",1048837,522,2012
"Hopper","Germone","WR",85,"Germone Hopper","81",1046837,147,2012
"Kelly","Chad","QB",88,"Chad Kelly","81",1046831,147,2012
