"Last.Name","First.Name","Position","Rank","Full.name","Grade","Player.Code","Team.Code","year"
"Brown","Derrick","DT",9,"Derrick Brown","90",1008437,86,2016
"Jones","Brandon","S",49,"Brandon Jones","85",1038258,254,2016
"Jones","Brandon","S",49,"Brandon Jones","85",1057360,670,2016
"Willies","Derrick","WR",115,"Derrick Willies","83",1055528,312,2016
"Parker","Ryan","WR",170,"Ryan Parker","82",1047418,306,2016
"Rodgers","Na'Ty","OT",175,"Na'Ty Rodgers","82",1057225,648,2016
"Hill","Christian","DE",206,"Christian Hill","82",1041322,630,2016
"Faulk","Jeremy","DT",274,"Jeremy Faulk","81",1055069,229,2016
"Franklin III","John","QB",293,"John Franklin III","81",1055117,234,2016
"Johnson","Willie","WR",336,"Willie Johnson","80",1019584,6,2016
"Griffin","Jordan","CB",353,"Jordan Griffin","80",1020219,244,2016
"Johnson","Brandon","WR",359,"Brandon Johnson","80",1056582,497,2016
"Woods","Jordan","DE",371,"Jordan Woods","80",1022516,1092,2016
"Jones","Jordan","WR",380,"Jordan Jones","80",1053762,1092,2016
"Chavis","Tyrell","DT",396,"Tyrell Chavis","80",1058198,746,2016
"Johnson","Isaiah","WR",454,"Isaiah Johnson","80",1044137,769,2016
"Jones","Tyren","RB",459,"Tyren Jones","80",1054152,8,2016
"Terry","Nick","DT",489,"Nick Terry","79",1054480,66,2016
"Bryant","Greg","RB",513,"Greg Bryant","79",1056670,513,2016
"Williams","Troy","QB",555,"Troy Williams","79",1058293,756,2016
"Stanton","Johnny","QB",582,"Johnny Stanton","79",1056339,463,2016
"Brown","Chris","S",587,"Chris Brown","79",1048104,419,2016
"Ferguson","Riley","QB",588,"Riley Ferguson","79",1057513,694,2016
"Williams","Tre","DE",661,"Tre Williams","78",1037421,469,2016
"Wright","Isaiah","WR",678,"Isaiah Wright","78",1020606,317,2016
"Hosick","Trent","QB",721,"Trent Hosick","78",1056261,434,2016
"Thompson","Jayme","S",729,"Jayme Thompson","78",1056719,518,2016
"Martin","Chris","DT",755,"Chris Martin","78",1015859,128,2016
"Anderson","Darius","RB",779,"Darius Anderson","78",1059059,493,2016
"Miller","Chris","S",858,"Chris Miller","77",1048846,528,2016
"Johnson","Michael","S",887,"Michael Johnson","77",1055837,388,2016
"Johnson","Michael","S",887,"Michael Johnson","77",1013129,315,2016
"Smith","Chris","CB",908,"Chris Smith","77",1025385,503,2016
"Evans","Chris","RB",927,"Chris Evans","76",1013973,625,2016
"Evans","Chris","RB",927,"Chris Evans","76",1000087,9,2016
"Perez","Francisco","OT",1028,"Francisco Perez","75",68910,654,2016
"Harrison","Malik","ATH",1077,"Malik Harrison","75",1058649,201,2016
"Robinson","Stephan","WR",1249,"Stephan Robinson","74",1032497,367,2016
"Smith","Sawyer","QB",1310,"Sawyer Smith","74",50490,550,2016
"Johnson","Austin","K",1354,"Austin Johnson","73",1052657,659,2016
"Johnson","Anthony","CB",1722,"Anthony Johnson","71",1056150,419,2016
"Johnson","Anthony","CB",1722,"Anthony Johnson","71",1027658,314,2016
"Brown","Jordan","WR",1786,"Jordan Brown","70",71943,288,2016
"Brown","Jordan","WR",1786,"Jordan Brown","70",1059895,317,2016
"Brown","Jordan","WR",1786,"Jordan Brown","70",1058971,454,2016
"Erdely","A.J.","QB",1801,"A.J. Erdely","70",1056120,419,2016
"Clark","Justin","CB",1867,"Justin Clark","69",1013396,454,2016
"Williams","Mark","CB",1920,"Mark Williams","68",1036623,1320,2016
"Lewis","Robert","CB",1973,"Robert Lewis","68",1057608,698,2016
"Montgomery","David","RB",2019,"David Montgomery","NR",1014827,1092,2016
"Smith","Anthony","DE",2048,"Anthony Smith","NR",1017478,472,2016
"Simmons","Brandon","RB",2150,"Brandon Simmons","NR",1000929,196,2016
"Williams","Marcus","WR",2236,"Marcus Williams","NR",1033078,472,2016
"Williams","Marcus","WR",2236,"Marcus Williams","NR",1028913,288,2016
"Miller","Marcus","DE",2259,"Marcus Miller","NR",1029433,699,2016
"Brown","Isaiah","CB",2266,"Isaiah Brown","NR",1056480,473,2016
"Foster","Eric","WR",2284,"Eric Foster","NR",1051905,693,2016
"Williams","Marcus","RB",2324,"Marcus Williams","NR",1002785,518,2016
"Williams","Marcus","RB",2324,"Marcus Williams","NR",1058085,732,2016
"Smith","B.J.","RB",2336,"B.J. Smith","NR",70698,193,2016
"Lee","Jonathan","RB",2345,"Jonathan Lee","NR",1042032,721,2016
"Huesman","Jacob","QB",2361,"Jacob Huesman","NR",1044010,693,2016
"Bell","Matt","DT",2462,"Matt Bell","NR",1052033,817,2016
"Gray","Daniel","CB",2572,"Daniel Gray","NR",1049519,731,2016
"Martin","Nick","OG",2604,"Nick Martin","NR",1040910,513,2016
"Harvey","David","WR",2650,"David Harvey","NR",1000002,5,2016
"Smith","Cornelius","RB",2655,"Cornelius Smith","NR",50644,575,2016
"Stewart","Josh","WR",2744,"Josh Stewart","NR",1041005,521,2016
"Jones","Chris","OG",2798,"Chris Jones","NR",1013737,502,2016
"Brown","Daniel","WR",2965,"Daniel Brown","NR",1037212,317,2016
"Johnson","Josh","RB",2971,"Josh Johnson","NR",1001464,311,2016
