Rank,Full Name,Last Name,First Name,Position,Grade,Home Town,Home State
1,Ronald Powell,Powell,Ronald,ATH,89,Moreno Valley,CA
2,Jackson Jeffcoat,Jeffcoat,Jackson,DE,88,Plano,TX
3,Dominique Easley,Easley,Dominique,DT,88,Staten Island,NY
4,Jordan Hicks,Hicks,Jordan,OLB,87,West Chester,OH
5,Michael Dyer,Dyer,Michael,RB,87,Little Rock,AR
6,Lamarcus Joyner,Joyner,Lamarcus,CB,87,Miami,FL
7,Robert Woods,Woods,Robert,WR,87,Gardena,CA
8,Seantrel Henderson,Henderson,Seantrel,OT,86,Saint Paul,MN
9,Matt Elam,Elam,Matt,ATH,86,Palm Beach Gardens,FL
10,Jonathan Dowling,Dowling,Jonathan,S,86,Bradenton,FL
11,Jeff Luc,Luc,Jeff,ILB,85,Port Saint Lucie,FL
12,Demar Dorsey,Dorsey,Demar,S,85,Fort Lauderdale,FL
13,Mike Davis,Davis,Mike,WR,84,Dallas,TX
14,Taylor Bible,Bible,Taylor,DT,84,Denton,TX
15,Ahmad Dixon,Dixon,Ahmad,S,84,Waco,TX
16,DeMarcus Milliner,Milliner,DeMarcus,CB,84,Millbrook,AL
17,Owamagbe Odighizuwa,Odighizuwa,Owamagbe,DE,84,Portland,OR
18,Demarco Cobbs,Cobbs,Demarco,ATH,84,Tulsa,OK
19,Marcus Lattimore,Lattimore,Marcus,RB,84,Duncan,SC
20,Darius White,White,Darius,WR,84,Fort Worth,TX
21,Tony Jefferson,Jefferson,Tony,ATH,84,Chula Vista,CA
22,Storm Johnson,Johnson,Storm,RB,83,Loganville,GA
23,Markeith Ambles,Ambles,Markeith,WR,83,McDonough,GA
24,Ja'Wuan James,James,Ja'Wuan,OT,83,Suwanee,GA
25,Sharrif Floyd,Floyd,Sharrif,DT,83,Philadelphia,PA
26,Justin Hunter,Hunter,Justin,WR,83,Virginia Beach,VA
27,Christian Jones,Jones,Christian,OLB,83,Oviedo,FL
28,Joshua Shaw,Shaw,Joshua,CB,83,Palmdale,CA
29,Alec Ogletree,Ogletree,Alec,S,83,Newnan,GA
30,Da'Rick Rogers,Rogers,Da'Rick,WR,83,Calhoun,GA
