Rank,Full Name,Last Name,First Name,Position,Grade,Home State
1,Mario Edwards,Edwards,Mario,DE,90,TX
2,Johnathan Gray,Gray,Johnathan,RB,86,TX
3,Dorial Green-Beckham,Green-Beckham,Dorial,WR,86,MO
4,Noah Spence,Spence,Noah,DE,86,PA
5,Keith Marshall,Marshall,Keith,RB,85,NC
6,Landon Collins,Collins,Landon,S,85,LA
7,D.J. Humphries,Humphries,D.J.,OT,85,NC
8,Davonte Neal,Neal,Davonte,ATH,85,AZ
9,Andrus Peat,Peat,Andrus,OT,85,AZ
10,Eddie Goldman,Goldman,Eddie,DT,85,DC
11,Eddie Williams,Williams,Eddie,ATH,85,FL
12,Malcom Brown,Brown,Malcom,DT,84,TX
13,Stefon Diggs,Diggs,Stefon,ATH,84,MD
14,Jameis Winston,Winston,Jameis,QB,84,AL
15,Travis Blanks,Blanks,Travis,S,84,FL
16,Shaq Thompson,Thompson,Shaq,S,84,CA
17,Josh Harvey-Clemons,Harvey-Clemons,Josh,OLB,83,GA
18,Tracy Howard,Howard,Tracy,CB,83,FL
19,Isaac Seumalo,Seumalo,Isaac,OG,83,OR
20,Cyrus Jones,Jones,Cyrus,ATH,83,MD
21,Ricardo Louis,Louis,Ricardo,ATH,83,FL
22,Chris Black,Black,Chris,WR,83,FL
23,Chris Casher,Casher,Chris,DE,83,AL
24,Arik Armstead,Armstead,Arik,OT,83,CA
25,Noor Davis,Davis,Noor,OLB,83,FL
26,Rushel Shell,Shell,Rushel,RB,83,PA
27,Kyle Murphy,Murphy,Kyle,OT,83,CA
28,John Theus,Theus,John,OT,83,FL
29,Kwon Alexander,Alexander,Kwon,OLB,83,AL
30,Brandon Greene,Greene,Brandon,OT,83,GA
31,Geno Smith,Smith,Geno,CB,82,GA
32,Zach Kline,Kline,Zach,QB,82,CA
33,Thomas Johnson,Johnson,Thomas,WR,82,TX
34,Issac Gross,Gross,Issac,DT,82,MS
35,Randy Johnson,Johnson,Randy,ATH,82,FL
36,Jabari Ruffin,Ruffin,Jabari,OLB,82,CA
37,Jonathan Bullard,Bullard,Jonathan,DE,82,NC
38,Ronald Darby,Darby,Ronald,CB,82,MD
39,Devin Fuller,Fuller,Devin,ATH,82,NJ
40,Yuri Wright,Wright,Yuri,CB,82,NJ
41,Angelo Jean-Louis,Jean-Louis,Angelo,WR,82,FL
42,Evan Boehm,Boehm,Evan,OG,82,MO
43,Ellis McCarthy,McCarthy,Ellis,DT,82,CA
44,Joshua Garnett,Garnett,Joshua,OG,82,WA
45,Shaq Roland,Roland,Shaq,WR,82,SC
46,Jessamen Dunker,Dunker,Jessamen,OG,82,FL
47,Nelson Agholor,Agholor,Nelson,WR,82,FL
48,Channing Ward,Ward,Channing,DE,82,MS
49,Amari Cooper,Cooper,Amari,WR,82,FL
50,Leonard Williams,Williams,Leonard,DT,82,FL
51,Ifeadi Odenigbo,Odenigbo,Ifeadi,DE,82,OH
52,Gunner Kiel,Kiel,Gunner,QB,82,IN
53,Jonathan Taylor,Taylor,Jonathan,DT,82,GA
54,Dominique Wheeler,Wheeler,Dominique,WR,82,TX
55,T.J. Yeldon,Yeldon,T.J.,RB,81,AL
56,Trey Williams,Williams,Trey,RB,81,TX
57,Gerod Holliman,Holliman,Gerod,S,81,FL
58,Trey Metoyer,Metoyer,Trey,WR,81,TX
59,Peter Jinkens,Jinkens,Peter,OLB,81,TX
60,Kennedy Estelle,Estelle,Kennedy,OT,81,TX
61,Dillon Lee,Lee,Dillon,OLB,81,GA
62,Sterling Shepard,Shepard,Sterling,WR,81,OK
63,Avery Young,Young,Avery,OT,81,FL
64,Mike Davis,Davis,Mike,RB,81,GA
65,Max Tuerk,Tuerk,Max,OT,81,CA
66,Durron Neal,Neal,Durron,WR,81,MO
67,Adolphus Washington,Washington,Adolphus,DE,81,OH
68,Darius Powe,Powe,Darius,WR,81,CA
69,Kevin Grooms,Grooms,Kevin,ATH,81,FL
70,Jordan Jenkins,Jenkins,Jordan,DE,81,GA
71,Terry Richardson,Richardson,Terry,CB,81,MI
72,Darius Hamilton,Hamilton,Darius,DE,81,NJ
73,Alex Ross,Ross,Alex,RB,81,OK
74,Dante Fowler Jr.,Fowler Jr.,Dante,DE,81,FL
75,Mario Pender,Pender,Mario,RB,81,FL
76,Devonte Fields,Fields,Devonte,DE,81,TX
77,Ricky Parks,Parks,Ricky,ATH,81,GA
78,Vadal Alexander,Alexander,Vadal,OG,81,GA
79,Marvin Bracy,Bracy,Marvin,WR,81,FL
80,Torshiro Davis,Davis,Torshiro,DE,81,LA
81,Curtis Riser,Riser,Curtis,OG,81,TX
82,Bryson Echols,Echols,Bryson,CB,81,TX
83,Barry Sanders,Sanders,Barry,RB,81,OK
84,Jordan Wade,Wade,Jordan,DT,81,TX
85,Germone Hopper,Hopper,Germone,WR,81,NC
86,Brian Poole,Poole,Brian,CB,81,FL
87,Joel Caleb,Caleb,Joel,ATH,81,VA
88,Chad Kelly,Kelly,Chad,QB,81,NY
89,Justin Ferguson,Ferguson,Justin,WR,81,FL
90,Joshua Holsey,Holsey,Joshua,CB,81,GA
91,Reginald Davis,Davis,Reginald,WR,81,TX
92,Jordan Simmons,Simmons,Jordan,OG,80,CA
93,Jay Guillermo,Guillermo,Jay,OC,80,TN
94,Tee Shepard,Shepard,Tee,CB,80,CA
95,T.J. Millweard,Millweard,T.J.,QB,80,TX
