Rank,Full Name,Last Name,First Name,Position,Grade
1,Robert Nkemdiche,Nkemdiche,Robert,DE,94
2,Carl Lawson,Lawson,Carl,DE,92
3,Vernon Hargreaves III,Hargreaves III,Vernon,CB,91
4,Mackensie Alexander,Alexander,Mackensie,CB,91
5,Laremy Tunsil,Tunsil,Laremy,OT,91
6,Matthew Thomas,Thomas,Matthew,OLB,90
7,Jaylon Smith,Smith,Jaylon,OLB,90
8,Kelvin Taylor,Taylor,Kelvin,RB,90
9,Derrick Henry,Henry,Derrick,ATH,90
10,Eddie Vanderdoes,Vanderdoes,Eddie,DT,90
11,Eli Apple,Apple,Eli,CB,90
12,Su'a Cravens,Cravens,Su'a,S,89
13,Montravius Adams,Adams,Montravius,DT,89
14,Jalen Ramsey,Ramsey,Jalen,CB,89
15,Christian Hackenberg,Hackenberg,Christian,QB,88
16,Reuben Foster,Foster,Reuben,ILB,88
17,Darius James,James,Darius,OC,88
18,Kendall Fuller,Fuller,Kendall,CB,88
19,Laquon Treadwell,Treadwell,Laquon,WR,88
20,Max Browne,Browne,Max,QB,88
21,Kenny Bigelow,Bigelow,Kenny,DT,88
22,Greg Bryant,Bryant,Greg,RB,88
23,Max Redfield,Redfield,Max,ATH,88
24,Antonio Conner,Conner,Antonio,S,88
25,Robert Foster,Foster,Robert,WR,88
26,Dee Liner,Liner,Dee,DT,88
27,Keith Ford,Ford,Keith,RB,88
28,Jonathan Allen,Allen,Jonathan,DE,88
29,Dorian Johnson,Johnson,Dorian,OT,88
30,Ryan Green,Green,Ryan,ATH,88
31,Daniel McMillian,McMillian,Daniel,OLB,88
32,Alvin Kamara,Kamara,Alvin,RB,88
33,Derrick Griffin,Griffin,Derrick,TE,88
34,Elijah Daniel,Daniel,Elijah,DE,87
35,Robbie Rhodes,Rhodes,Robbie,WR,87
36,Tim Williams,Williams,Tim,DE,87
37,Leon McQuay III,McQuay III,Leon,S,87
38,Derrick Green,Green,Derrick,RB,87
39,Shaq Wiggins,Wiggins,Shaq,CB,87
40,DeMarcus Walker,Walker,DeMarcus,DT,87
41,Kendell Beckwith,Beckwith,Kendell,ATH,87
42,Caleb Brantley,Brantley,Caleb,DT,87
43,Gareon Conley,Conley,Gareon,CB,87
44,Cooper Bateman,Bateman,Cooper,QB,87
45,O.J. Howard,Howard,O.J.,TE,87
46,Chris Jones,Jones,Chris,DE,87
47,Stacy Coley,Coley,Stacy,WR,87
48,Trey Johnson,Johnson,Trey,ILB,87
49,Jalin Marshall,Marshall,Jalin,WR,87
50,Vonn Bell,Bell,Vonn,S,87
51,Damore'ea Stringfellow,Stringfellow,Damore'ea,WR,87
52,Austin Golson,Golson,Austin,OT,86
53,Demarcus Robinson,Robinson,Demarcus,WR,86
54,Thomas Tyner,Tyner,Thomas,RB,86
55,Dontre Wilson,Wilson,Dontre,ATH,86
56,Joey Bosa,Bosa,Joey,DT,86
57,Angelo Jean-Louis,Jean-Louis,Angelo,WR,86
58,Alex Collins,Collins,Alex,RB,86
59,Al-Quadin Muhammad,Muhammad,Al-Quadin,DE,85
60,Priest Willis,Willis,Priest,S,85
61,Jeryl Brazil,Brazil,Jeryl,CB,85
62,Ricky Seals-Jones,Seals-Jones,Ricky,WR,85
63,Cam Burrows,Burrows,Cam,CB,85
64,Tyren Jones,Jones,Tyren,RB,85
65,Ryan Burns,Burns,Ryan,QB,85
66,Keanu Neal,Neal,Keanu,S,85
67,Tarean Folston,Folston,Tarean,ATH,85
68,Adam Breneman,Breneman,Adam,TE,85
69,Marcell Harris,Harris,Marcell,S,85
70,Hunter Henry,Henry,Hunter,TE,85
71,Artie Burns,Burns,Artie,CB,85
72,Michael Hutchings,Hutchings,Michael,OLB,85
73,Chris Hawkins,Hawkins,Chris,CB,85
74,Levonte Whitfield,Whitfield,Levonte,ATH,85
75,Sebastian LaRue,LaRue,Sebastian,WR,85
76,Taquan Mizzell,Mizzell,Taquan,RB,85
77,Lavon Hooks,Hooks,Lavon,DT,85
78,Kent Perkins,Perkins,Kent,OT,84
79,Alvin Bailey,Bailey,Alvin,ATH,84
80,Ben Boulware,Boulware,Ben,ILB,84
81,James Quick,Quick,James,WR,84
82,Matt Rolin,Rolin,Matt,OLB,84
83,Altee Tenpenny,Tenpenny,Altee,RB,84
84,Hunter Bivin,Bivin,Hunter,OT,84
85,Greg Gilmore,Gilmore,Greg,DT,84
86,Maurice Smith,Smith,Maurice,CB,84
87,Kylie Fitts,Fitts,Kylie,DE,84
88,Grant Hill,Hill,Grant,OG,84
89,Kevin Olsen,Olsen,Kevin,QB,84
90,Jourdan Lewis,Lewis,Jourdan,CB,84
91,Tramel Terry,Terry,Tramel,ATH,84
92,Steven Mitchell,Mitchell,Steven,WR,84
93,David Dawson,Dawson,David,OG,84
94,Justin Manning,Manning,Justin,DT,84
95,Dymonte Thomas,Thomas,Dymonte,ATH,84
96,Ethan Pocic,Pocic,Ethan,OT,84
97,Torii Hunter Jr.,Hunter Jr.,Torii,WR,84
98,Kohl Stewart,Stewart,Kohl,QB,84
99,Alex Anzalone,Anzalone,Alex,ATH,84
100,Holland Fisher,Fisher,Holland,S,84
101,Quinton Powell,Powell,Quinton,OLB,84
102,Kelsey Griffin,Griffin,Kelsey,DT,84
103,Patrick Kugler,Kugler,Patrick,OG,84
104,Marcus Baugh,Baugh,Marcus,TE,84
105,Deon Hollins Jr.,Hollins Jr.,Deon,OLB,84
106,Logan Tuley-Tillman,Tuley-Tillman,Logan,OT,84
107,A'Shawn Robinson,Robinson,A'Shawn,DT,84
108,Evan Lisle,Lisle,Evan,OT,84
109,Jordan Cunningham,Cunningham,Jordan,WR,84
