Rank,Full name,Last Name,First Name,Position,Grade
1,Rashan Gary,Gary,Rashan,DT,94
2,Gregory Little,Little,Gregory,OT,93
3,Nick Bosa,Bosa,Nick,DE,93
4,Ed Oliver,Oliver,Ed,DT,92
5,Levonta Taylor,Taylor,Levonta,CB,92
6,Dexter Lawrence,Lawrence,Dexter,DT,91
7,Benito Jones,Jones,Benito,DT,91
8,Isaac Nauta,Nauta,Isaac,TE,91
9,Derrick Brown,Brown,Derrick,DT,90
10,Antonneous Clayton,Clayton,Antonneous,DE,89
11,McTelvin Agim,Agim,McTelvin,DE,89
12,Rashard Lawrence,Lawrence,Rashard,DT,89
13,Jacob Eason,Eason,Jacob,QB,89
14,Shane Simmons,Simmons,Shane,DE,89
15,Shea Patterson,Patterson,Shea,QB,89
16,Willie Allen,Allen,Willie,OT,88
17,Malik Henry,Henry,Malik,QB,88
18,Trayvon Mullen,Mullen,Trayvon,CB,88
19,K.J. Costello,Costello,K.J.,QB,88
20,Antwuan Jackson Jr.,Jackson Jr.,Antwuan,DT,87
21,Rahshaun Smith,Smith,Rahshaun,OLB,87
22,N'keal Harry,Harry,N'keal,WR,87
23,Julian Rochester,Rochester,Julian,DT,87
24,Ben Davis,Davis,Ben,ILB,87
25,Jonah Williams,Williams,Jonah,OT,87
26,Jeffrey McCulloch,McCulloch,Jeffrey,OLB,87
27,Kristian Fulton,Fulton,Kristian,CB,87
28,Keandre Jones,Jones,Keandre,OLB,87
29,Baveon Johnson,Johnson,Baveon,OC,87
30,Mique Juarez,Juarez,Mique,OLB,86
31,Saivion Smith,Smith,Saivion,CB,86
32,Marlon Davidson,Davidson,Marlon,DE,86
33,B.J. Emmons,Emmons,B.J.,RB,86
34,Mack Wilson,Wilson,Mack,OLB,86
35,Tyler Byrd,Byrd,Tyler,ATH,86
36,Nigel Knott,Knott,Nigel,CB,86
37,Nate Craig-Myers,Craig-Myers,Nate,WR,86
38,Demario McCall,McCall,Demario,RB,86
39,Kaden Smith,Smith,Kaden,TE,86
40,Shyheim Carter,Carter,Shyheim,CB,86
41,Deontay Anderson,Anderson,Deontay,S,86
42,Devin Duvernay,Duvernay,Devin,WR,86
43,Miles Sanders,Sanders,Miles,RB,85
44,Devin Asiasi,Asiasi,Devin,TE,85
45,Kareem Walker,Walker,Kareem,RB,85
46,Carlos Becker,Becker,Carlos,CB,85
47,Terrell Hall,Hall,Terrell,DE,85
48,Mecole Hardman,Hardman,Mecole,ATH,85
49,Brandon Jones,Jones,Brandon,S,85
50,Ben Bredeson,Bredeson,Ben,OT,85
51,Michael Divinity,Divinity,Michael,OLB,85
52,Tyrie Cleveland,Cleveland,Tyrie,WR,85
53,Tavien Feaster,Feaster,Tavien,RB,85
54,Kyle Davis,Davis,Kyle,WR,85
55,Michail Carter,Carter,Michail,DT,85
56,Patrick Hudson,Hudson,Patrick,OG,85
57,Jonathon Cooper,Cooper,Jonathon,DE,85
58,Michal Menet,Menet,Michal,OG,85
59,Oluwole Betiku,Betiku,Oluwole,DE,85
60,Brandon Peters,Peters,Brandon,QB,85
61,Rahssan Thornton,Thornton,Rahssan,DE,85
62,Demetris Robertson,Robertson,Demetris,WR,85
63,Dwayne Haskins Jr.,Haskins Jr.,Dwayne,QB,85
64,Landon Dickerson,Dickerson,Landon,OT,85
65,Feleipe' Franks,Franks,Feleipe',QB,85
66,A.J. Brown,Brown,A.J.,WR,85
67,Liam Eichenberg,Eichenberg,Liam,OT,85
68,Jack Allison,Allison,Jack,QB,85
69,Caleb Kelly,Kelly,Caleb,OLB,85
70,Devwah Whaley,Whaley,Devwah,RB,85
71,Lamar Jackson,Jackson,Lamar,ATH,84
72,Shavar Manuel,Manuel,Shavar,DT,84
73,Jamel Cook,Cook,Jamel,S,84
74,Edwin Alexander,Alexander,Edwin,DT,84
75,Justin Madubuike,Madubuike,Justin,DE,84
76,Chris Owens,Owens,Chris,OG,84
77,Sam Bruce,Bruce,Sam,WR,84
78,Marquill Osborne,Osborne,Marquill,CB,84
79,Keith Gavin,Gavin,Keith,WR,84
80,Daniel Joseph,Joseph,Daniel,DE,84
81,Drake Davis,Davis,Drake,WR,84
82,Jordan Elliott,Elliott,Jordan,DT,84
83,Chauncey Gardner,Gardner,Chauncey,S,84
84,Jeffery Simmons,Simmons,Jeffery,DE,84
85,John Broussard,Broussard,John,CB,84
86,Eric Monroe,Monroe,Eric,S,84
87,Tramonda Moore,Moore,Tramonda,OT,84
88,Terrance Davis,Davis,Terrance,OG,84
89,Tre' Lamar,Lamar,Tre',ILB,84
90,Adam McLean,McLean,Adam,DT,83
91,E.J. Price,Price,E.J.,OT,83
92,Karamo Dioubate,Dioubate,Karamo,DE,83
93,Dionte Mullins,Mullins,Dionte,WR,83
94,Matt Fink,Fink,Matt,QB,83
95,Charles Baldwin,Baldwin,Charles,OT,83
96,Tyler Vaughns,Vaughns,Tyler,WR,83
97,Boss Tagaloa,Tagaloa,Boss,DT,83
98,Keenan Walker,Walker,Keenan,OT,83
99,Jackie Jones,Jones,Jackie,CB,83
100,Austin Myers,Myers,Austin,OT,83
101,Garett Bolles,Bolles,Garett,OT,83
102,Shaquille Quarterman,Quarterman,Shaquille,ILB,83
103,Tommy Kraemer,Kraemer,Tommy,OT,83
104,Amir Rasul,Rasul,Amir,RB,83
105,Jarrett Guarantano,Guarantano,Jarrett,QB,83
106,Charlie Woerner,Woerner,Charlie,ATH,83
107,Janarius Robinson,Robinson,Janarius,DE,83
108,David Long,Long,David,ATH,83
109,Isaiah Graham,Graham,Isaiah,WR,83
110,Woody Barrett,Barrett,Woody,QB,83
111,John Raridon,Raridon,John,OG,83
112,Keion Joyner,Joyner,Keion,OLB,83
113,Ronald Johnson Jr.,Johnson Jr.,Ronald,DE,83
114,Jauan Williams,Williams,Jauan,OT,83
115,Derrick Willies,Willies,Derrick,WR,83
116,Patrick Bethel,Bethel,Patrick,DE,83
117,Lokeni Toailoa,Toailoa,Lokeni,ILB,83
118,Eli Stove,Stove,Eli,WR,83
119,Terry Wilson,Wilson,Terry,QB,83
120,Chauncey Manac,Manac,Chauncey,DE,83
121,Tyler Gerald,Gerald,Tyler,OG,83
122,Josh Imatorbhebhe,Imatorbhebhe,Josh,WR,83
123,Brandon McIlwain,McIlwain,Brandon,QB,83
124,Jonathan Kongbo,Kongbo,Jonathan,DE,83
125,Clark Yarbrough,Yarbrough,Clark,OT,83
126,Josh Hammond,Hammond,Josh,WR,83
127,Chris Daniels,Daniels,Chris,DT,83
128,Stephen Sullivan,Sullivan,Stephen,WR,83
129,Dontavious Jackson,Jackson,Dontavious,ILB,83
130,Khalid Kareem,Kareem,Khalid,DE,83
131,Trevon Diggs,Diggs,Trevon,ATH,83
132,Deonte Brown,Brown,Deonte,OG,83
133,Eric Cuffee,Cuffee,Eric,CB,83
134,Jean Delance,Delance,Jean,OT,83
135,Zechariah McPhearson,McPhearson,Zechariah,CB,83
136,Michael Onwenu,Onwenu,Michael,OG,83
137,Damar Hamlin,Hamlin,Damar,CB,83
138,Erick Fowler,Fowler,Erick,OLB,83
139,Kendell Jones,Jones,Kendell,DT,83
140,Landon Young,Young,Landon,OT,83
141,Diondre Overton,Overton,Diondre,WR,83
142,Marquel Dismuke,Dismuke,Marquel,S,83
143,Aaron Hansford,Hansford,Aaron,ATH,83
144,Bryce Youngquist,Youngquist,Bryce,OLB,83
145,Erroll Thompson,Thompson,Erroll,ILB,83
146,Scott Lashley,Lashley,Scott,OT,83
147,Landon Rice,Rice,Landon,TE,83
148,Carlin Fils-Aime,Fils-Aime,Carlin,RB,83
149,Briston Guidry,Guidry,Briston,DT,82
150,Trevon Sidney,Sidney,Trevon,ATH,82
151,Brendan Ferns,Ferns,Brendan,ILB,82
152,Michael Jordan,Jordan,Michael,OT,82
153,Keyshon Camp,Camp,Keyshon,DT,82
154,Antonio Williams,Williams,Antonio,RB,82
155,Marquez Callaway,Callaway,Marquez,S,82
156,Raekwon Davis,Davis,Raekwon,DT,82
157,Jordan Fuller,Fuller,Jordan,ATH,82
158,Garrett Rand,Rand,Garrett,DT,82
159,Jake Hausmann,Hausmann,Jake,TE,82
160,Malcolm Pridgeon,Pridgeon,Malcolm,OT,82
161,Xavier Kelly,Kelly,Xavier,DE,82
162,Ellison Jordan,Jordan,Ellison,DT,82
